,Area,Element,Item,Year,Unit,Value,min_temp,median_temp,max_temp,min_precip,med_precip,max_precip,min_soil_tmp,med_soil_tmp,max_soil_tmp,min_soil_moist,med_soil_moist,max_soil_moist
0,China,Yield,"Almonds, in shell",2019,100 g/ha,34702,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
1,China,Yield,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2019,100 g/ha,12542,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
2,China,Yield,Apples,2019,100 g/ha,207832,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
3,China,Yield,Apricots,2019,100 g/ha,28878,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
4,China,Yield,Areca nuts,2019,100 g/ha,25359,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
5,China,Yield,Artichokes,2019,100 g/ha,67005,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
6,China,Yield,Asparagus,2019,100 g/ha,51358,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
7,China,Yield,Avocados,2019,100 g/ha,104123,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
8,China,Yield,Bananas,2019,100 g/ha,334395,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
9,China,Yield,Barley,2019,100 g/ha,39354,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
10,China,Yield,"Beans, dry",2019,100 g/ha,17398,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
11,China,Yield,"Broad beans and horse beans, dry",2019,100 g/ha,20732,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
12,China,Yield,"Broad beans and horse beans, green",2019,100 g/ha,134960,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
13,China,Yield,Buckwheat,2019,100 g/ha,8135,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
14,China,Yield,Cabbages,2019,100 g/ha,348704,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
15,China,Yield,Cantaloupes and other melons,2019,100 g/ha,350678,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
16,China,Yield,Carrots and turnips,2019,100 g/ha,451886,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
17,China,Yield,"Cashew nuts, in shell",2019,100 g/ha,11498,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
18,China,Yield,"Cassava, fresh",2019,100 g/ha,161980,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
19,China,Yield,Castor oil seeds,2019,100 g/ha,17143,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
20,China,Yield,Cauliflowers and broccoli,2019,100 g/ha,198735,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
21,China,Yield,Cereals n.e.c.,2019,100 g/ha,23996,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
22,China,Yield,Cherries,2019,100 g/ha,41759,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
23,China,Yield,"Chestnuts, in shell",2019,100 g/ha,57263,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
24,China,Yield,"Chick peas, dry",2019,100 g/ha,52289,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
25,China,Yield,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2019,100 g/ha,66148,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
26,China,Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2019,100 g/ha,223629,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
27,China,Yield,"Cinnamon and cinnamon-tree flowers, raw",2019,100 g/ha,19202,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
28,China,Yield,"Cloves (whole stems), raw",2019,100 g/ha,12268,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
29,China,Yield,"Coconuts, in shell",2019,100 g/ha,107616,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
30,China,Yield,"Coffee, green",2019,100 g/ha,30198,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
31,China,Yield,"Cow peas, dry",2019,100 g/ha,10092,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
32,China,Yield,Cucumbers and gherkins,2019,100 g/ha,558491,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
33,China,Yield,Dates,2019,100 g/ha,128561,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
34,China,Yield,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",2019,100 g/ha,148759,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
35,China,Yield,Eggplants (aubergines),2019,100 g/ha,454237,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
36,China,Yield,Figs,2019,100 g/ha,53766,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
37,China,Yield,"Flax, processed but not spun",2019,100 g/ha,36168,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
38,China,Yield,"Ginger, raw",2019,100 g/ha,107724,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
39,China,Yield,Grapes,2019,100 g/ha,191499,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
40,China,Yield,Green corn (maize),2019,100 g/ha,94294,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
41,China,Yield,Green garlic,2019,100 g/ha,247347,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
42,China,Yield,"Groundnuts, excluding shelled",2019,100 g/ha,37771,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
43,China,Yield,"Hazelnuts, in shell",2019,100 g/ha,19408,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
44,China,Yield,Hop cones,2019,100 g/ha,29083,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
45,China,Yield,"Jute, raw or retted",2019,100 g/ha,37750,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
46,China,Yield,"Kenaf, and other textile bast fibres, raw or retted",2019,100 g/ha,61352,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
47,China,Yield,Kiwi fruit,2019,100 g/ha,120325,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
48,China,Yield,Leeks and other alliaceous vegetables,2019,100 g/ha,249869,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
49,China,Yield,Lemons and limes,2019,100 g/ha,216608,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
50,China,Yield,"Lentils, dry",2019,100 g/ha,24897,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
51,China,Yield,Lettuce and chicory,2019,100 g/ha,236244,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
52,China,Yield,Linseed,2019,100 g/ha,13077,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
53,China,Yield,Maize (corn),2019,100 g/ha,63171,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
54,China,Yield,"Mangoes, guavas and mangosteens",2019,100 g/ha,97005,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
55,China,Yield,Melonseed,2019,100 g/ha,14907,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
56,China,Yield,Millet,2019,100 g/ha,25552,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
57,China,Yield,Mustard seed,2019,100 g/ha,7861,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
58,China,Yield,Natural rubber in primary forms,2019,100 g/ha,11878,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
59,China,Yield,Oats,2019,100 g/ha,35526,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
60,China,Yield,Oil palm fruit,2019,100 g/ha,132510,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
61,China,Yield,Olives,2019,100 g/ha,83114,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
62,China,Yield,"Onions and shallots, dry (excluding dehydrated)",2019,100 g/ha,219797,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
63,China,Yield,"Onions and shallots, green",2019,100 g/ha,361551,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
64,China,Yield,Oranges,2019,100 g/ha,187387,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
65,China,Yield,"Other beans, green",2019,100 g/ha,272704,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
66,China,Yield,Other berries and fruits of the genus vaccinium n.e.c.,2019,100 g/ha,110673,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
67,China,Yield,"Other citrus fruit, n.e.c.",2019,100 g/ha,312722,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
68,China,Yield,"Other fibre crops, raw, n.e.c.",2019,100 g/ha,109030,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
69,China,Yield,"Other fruits, n.e.c.",2019,100 g/ha,34389,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
70,China,Yield,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",2019,100 g/ha,56625,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
71,China,Yield,"Other oil seeds, n.e.c.",2019,100 g/ha,13228,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
72,China,Yield,Other pulses n.e.c.,2019,100 g/ha,25733,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
73,China,Yield,"Other stimulant, spice and aromatic crops, n.e.c.",2019,100 g/ha,32906,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
74,China,Yield,Other stone fruits,2019,100 g/ha,86600,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
75,China,Yield,"Other tropical fruits, n.e.c.",2019,100 g/ha,37447,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
76,China,Yield,"Other vegetables, fresh n.e.c.",2019,100 g/ha,162216,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
77,China,Yield,Papayas,2019,100 g/ha,623924,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
78,China,Yield,Peaches and nectarines,2019,100 g/ha,185263,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
79,China,Yield,Pears,2019,100 g/ha,181041,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
80,China,Yield,"Peas, dry",2019,100 g/ha,15034,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
81,China,Yield,"Peas, green",2019,100 g/ha,80377,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
82,China,Yield,"Pepper (Piper spp.), raw",2019,100 g/ha,18167,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
83,China,Yield,Persimmons,2019,100 g/ha,35527,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
84,China,Yield,Pineapples,2019,100 g/ha,270622,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
85,China,Yield,"Pistachios, in shell",2019,100 g/ha,28479,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
86,China,Yield,Plums and sloes,2019,100 g/ha,34230,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
87,China,Yield,Pomelos and grapefruits,2019,100 g/ha,488218,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
88,China,Yield,Potatoes,2019,100 g/ha,221750,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
89,China,Yield,"Pumpkins, squash and gourds",2019,100 g/ha,185231,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
90,China,Yield,Quinces,2019,100 g/ha,34316,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
91,China,Yield,"Ramie, raw or retted",2019,100 g/ha,18744,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
92,China,Yield,Rape or colza seed,2019,100 g/ha,20484,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
93,China,Yield,Rice,2019,100 g/ha,70562,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
94,China,Yield,Rye,2019,100 g/ha,31407,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
95,China,Yield,Safflower seed,2019,100 g/ha,14699,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
96,China,Yield,"Seed cotton, unginned",2019,100 g/ha,68129,30.51220238,60.10029762,80.33577381,0.000114286,0.001496577,0.012751488,32.07877976,61.9865625,81.09592262,0.178290476,0.260687054,0.343532143
