Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01929.07","Abaca, manila hemp, raw","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01371","Almonds, in shell","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01341","Apples","2021","2021","100 g/ha","394606","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01343","Apricots","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01379.01","Areca nuts","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01216","Artichokes","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01211","Asparagus","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01311","Avocados","2021","2021","100 g/ha","166185","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5423","Extraction Rate","03211","Balata, gutta-percha, guayule, chicle and similar natural gums in primary forms or in plates, sheets or strip","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01708","Bambara beans, dry","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01312","Bananas","2021","2021","100 g/ha","150271","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0115","Barley","2021","2021","100 g/ha","39331","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01701","Beans, dry","2021","2021","100 g/ha","11097","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01355.01","Blueberries","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01377","Brazil nuts, in shell","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01702","Broad beans and horse beans, dry","2021","2021","100 g/ha","3151","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01243","Broad beans and horse beans, green","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01192","Buckwheat","2021","2021","100 g/ha","14025","E","Estimated value"
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01212","Cabbages","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01195","Canary seed","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01229","Cantaloupes and other melons","2021","2021","100 g/ha","254442","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01251","Carrots and turnips","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01372","Cashew nuts, in shell","2021","2021","100 g/ha","2601","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01359.02","Cashewapple","2021","2021","100 g/ha","25955","E","Estimated value"
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01219.01","Cassava leaves","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01520.01","Cassava, fresh","2021","2021","100 g/ha","150089","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01447","Castor oil seeds","2021","2021","100 g/ha","7780","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01213","Cauliflowers and broccoli","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01199.90","Cereals n.e.c.","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01344.02","Cherries","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01373","Chestnuts, in shell","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01703","Chick peas, dry","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01691","Chicory roots","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01655","Cinnamon and cinnamon-tree flowers, raw","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01656","Cloves (whole stems), raw","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01640","Cocoa beans","2021","2021","100 g/ha","5029","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01460","Coconuts, in shell","2021","2021","100 g/ha","131865","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01610","Coffee, green","2021","2021","100 g/ha","16299","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01929.08","Coir, raw","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01706","Cow peas, dry","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01355.02","Cranberries","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01232","Cucumbers and gherkins","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01351.01","Currants","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01314","Dates","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01599.10","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01233","Eggplants (aubergines)","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01315","Figs","2021","2021","100 g/ha","108885","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5419","Yield","26190.01","Flax, processed but not spun","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01193","Fonio","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01657","Ginger, raw","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01351.02","Gooseberries","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01330","Grapes","2021","2021","100 g/ha","231176","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01290.01","Green corn (maize)","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01252","Green garlic","2021","2021","100 g/ha","127979","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0142","Groundnuts, excluding shelled","2021","2021","100 g/ha","38963","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01374","Hazelnuts, in shell","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01449.02","Hempseed","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01659","Hop cones","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01499.03","Jojoba seeds","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01922.01","Jute, raw or retted","2021","2021","100 g/ha","13000","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01499.05","Kapok fruit","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01499.01","Karite nuts (sheanuts)","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01922.02","Kenaf, and other textile bast fibres, raw or retted","2021","2021","100 g/ha","14172","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01352","Kiwi fruit","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01379.02","Kola nuts","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01254","Leeks and other alliaceous vegetables","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01322","Lemons and limes","2021","2021","100 g/ha","256598","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01704","Lentils, dry","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01214","Lettuce and chicory","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01441","Linseed","2021","2021","100 g/ha","10723","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01356","Locust beans (carobs)","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01709.02","Lupins","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0112","Maize (corn)","2021","2021","100 g/ha","46499","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01316","Mangoes, guavas and mangosteens","2021","2021","100 g/ha","209553","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01630","Maté leaves","2021","2021","100 g/ha","81320","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01449.01","Melonseed","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0118","Millet","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01199.02","Mixed grain","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01270","Mushrooms and truffles","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01442","Mustard seed","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01950.01","Natural rubber in primary forms","2021","2021","100 g/ha","13599","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01653","Nutmeg, mace, cardamoms, raw","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0117","Oats","2021","2021","100 g/ha","21801","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01491.01","Oil palm fruit","2021","2021","100 g/ha","146461","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01239.01","Okra","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01450","Olives","2021","2021","100 g/ha","16110","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01253.02","Onions and shallots, dry (excluding dehydrated)","2021","2021","100 g/ha","334011","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01253.01","Onions and shallots, green","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01323","Oranges","2021","2021","100 g/ha","280508","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01241.90","Other beans, green","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01355.90","Other berries and fruits of the genus vaccinium n.e.c.","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01329","Other citrus fruit, n.e.c.","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01929.90","Other fibre crops, raw, n.e.c.","2021","2021","100 g/ha","49902","E","Estimated value"
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01359.90","Other fruits, n.e.c.","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","2021","2021","100 g/ha","7217","E","Estimated value"
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01449.90","Other oil seeds, n.e.c.","2021","2021","100 g/ha","15033","E","Estimated value"
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01349.10","Other pome fruits","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01709.90","Other pulses n.e.c.","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01699","Other stimulant, spice and aromatic crops, n.e.c.","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01349.20","Other stone fruits","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01809","Other sugar crops n.e.c.","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01319","Other tropical fruits, n.e.c.","2021","2021","100 g/ha","152585","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01290.90","Other vegetables, fresh n.e.c.","2021","2021","100 g/ha","130674","E","Estimated value"
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01317","Papayas","2021","2021","100 g/ha","441026","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01345","Peaches and nectarines","2021","2021","100 g/ha","128427","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01342.01","Pears","2021","2021","100 g/ha","151100","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01705","Peas, dry","2021","2021","100 g/ha","35897","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01242","Peas, green","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01651","Pepper (Piper spp.), raw","2021","2021","100 g/ha","31073","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01930.01","Peppermint, spearmint","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01359.01","Persimmons","2021","2021","100 g/ha","215251","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01707","Pigeon peas, dry","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01318","Pineapples","2021","2021","100 g/ha","364458","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01375","Pistachios, in shell","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01313","Plantains and cooking bananas","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01346","Plums and sloes","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01321","Pomelos and grapefruits","2021","2021","100 g/ha","182945","E","Estimated value"
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01448","Poppy seed","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01510","Potatoes","2021","2021","100 g/ha","330991","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01235","Pumpkins, squash and gourds","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01930.02","Pyrethrum, dried flowers","2021","2021","","","",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01342.02","Quinces","2021","2021","100 g/ha","65672","A","Official figure"
