Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","159","China","5419","Yield","01929.07","Abaca, manila hemp, raw","2021","2021","","","",""
"QCL","Crops and livestock products","159","China","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","2021","2021","","","",""
"QCL","Crops and livestock products","159","China","5419","Yield","01371","Almonds, in shell","2021","2021","100 g/ha","36069","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2021","2021","100 g/ha","12554","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01341","Apples","2021","2021","100 g/ha","219759","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01343","Apricots","2021","2021","100 g/ha","33744","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01379.01","Areca nuts","2021","2021","100 g/ha","24070","A","Official figure"
"QCL","Crops and livestock products","159","China","5419","Yield","01216","Artichokes","2021","2021","100 g/ha","67518","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01211","Asparagus","2021","2021","100 g/ha","50967","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01311","Avocados","2021","2021","100 g/ha","92430","A","Official figure"
"QCL","Crops and livestock products","159","China","5423","Extraction Rate","03211","Balata, gutta-percha, guayule, chicle and similar natural gums in primary forms or in plates, sheets or strip","2021","2021","","","",""
"QCL","Crops and livestock products","159","China","5419","Yield","01708","Bambara beans, dry","2021","2021","","","",""
"QCL","Crops and livestock products","159","China","5419","Yield","01312","Bananas","2021","2021","100 g/ha","334960","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","0115","Barley","2021","2021","100 g/ha","39216","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01701","Beans, dry","2021","2021","100 g/ha","17555","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01355.01","Blueberries","2021","2021","","","",""
"QCL","Crops and livestock products","159","China","5419","Yield","01377","Brazil nuts, in shell","2021","2021","","","",""
"QCL","Crops and livestock products","159","China","5419","Yield","01702","Broad beans and horse beans, dry","2021","2021","100 g/ha","21019","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01243","Broad beans and horse beans, green","2021","2021","100 g/ha","136713","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01192","Buckwheat","2021","2021","100 g/ha","8075","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01212","Cabbages","2021","2021","100 g/ha","350046","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01195","Canary seed","2021","2021","","","",""
"QCL","Crops and livestock products","159","China","5419","Yield","01229","Cantaloupes and other melons","2021","2021","100 g/ha","363523","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01251","Carrots and turnips","2021","2021","100 g/ha","459532","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01372","Cashew nuts, in shell","2021","2021","100 g/ha","11269","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01359.02","Cashewapple","2021","2021","","","",""
