Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","159","China","5419","Yield","01371","Almonds, in shell","2017","2017","100 g/ha","33382","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2017","2017","100 g/ha","13101","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01341","Apples","2017","2017","100 g/ha","212575","A","Official figure",""
"QCL","Crops and livestock products","159","China","5419","Yield","01343","Apricots","2017","2017","100 g/ha","31917","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01379.01","Areca nuts","2017","2017","100 g/ha","24440","A","Official figure",""
"QCL","Crops and livestock products","159","China","5419","Yield","01216","Artichokes","2017","2017","100 g/ha","67757","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01211","Asparagus","2017","2017","100 g/ha","52315","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01311","Avocados","2017","2017","100 g/ha","77229","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01312","Bananas","2017","2017","100 g/ha","314197","A","Official figure",""
"QCL","Crops and livestock products","159","China","5419","Yield","0115","Barley","2017","2017","100 g/ha","32886","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01701","Beans, dry","2017","2017","100 g/ha","17558","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01702","Broad beans and horse beans, dry","2017","2017","100 g/ha","21281","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01243","Broad beans and horse beans, green","2017","2017","100 g/ha","131558","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01192","Buckwheat","2017","2017","100 g/ha","8042","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01212","Cabbages","2017","2017","100 g/ha","351333","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01229","Cantaloupes and other melons","2017","2017","100 g/ha","350338","A","Official figure",""
"QCL","Crops and livestock products","159","China","5419","Yield","01251","Carrots and turnips","2017","2017","100 g/ha","434145","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01372","Cashew nuts, in shell","2017","2017","100 g/ha","10920","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01520.01","Cassava, fresh","2017","2017","100 g/ha","165720","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01447","Castor oil seeds","2017","2017","100 g/ha","16842","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01213","Cauliflowers and broccoli","2017","2017","100 g/ha","198591","E","Estimated value",""
