Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","159","China","5419","Yield","01371","Almonds, in shell","2019","2019","100 g/ha","34702","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2019","2019","100 g/ha","12542","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01341","Apples","2019","2019","100 g/ha","207832","A","Official figure"
"QCL","Crops and livestock products","159","China","5419","Yield","01343","Apricots","2019","2019","100 g/ha","28878","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01379.01","Areca nuts","2019","2019","100 g/ha","25359","A","Official figure"
"QCL","Crops and livestock products","159","China","5419","Yield","01216","Artichokes","2019","2019","100 g/ha","67005","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01211","Asparagus","2019","2019","100 g/ha","51358","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01311","Avocados","2019","2019","100 g/ha","104123","A","Official figure"
"QCL","Crops and livestock products","159","China","5419","Yield","01312","Bananas","2019","2019","100 g/ha","334395","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","0115","Barley","2019","2019","100 g/ha","39354","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01701","Beans, dry","2019","2019","100 g/ha","17398","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01702","Broad beans and horse beans, dry","2019","2019","100 g/ha","20732","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01243","Broad beans and horse beans, green","2019","2019","100 g/ha","134960","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01192","Buckwheat","2019","2019","100 g/ha","8135","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01212","Cabbages","2019","2019","100 g/ha","348704","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01229","Cantaloupes and other melons","2019","2019","100 g/ha","350678","A","Official figure"
"QCL","Crops and livestock products","159","China","5419","Yield","01251","Carrots and turnips","2019","2019","100 g/ha","451886","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01372","Cashew nuts, in shell","2019","2019","100 g/ha","11498","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01520.01","Cassava, fresh","2019","2019","100 g/ha","161980","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01447","Castor oil seeds","2019","2019","100 g/ha","17143","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01213","Cauliflowers and broccoli","2019","2019","100 g/ha","198735","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01199.90","Cereals n.e.c.","2019","2019","100 g/ha","23996","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01344.02","Cherries","2019","2019","100 g/ha","41759","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01373","Chestnuts, in shell","2019","2019","100 g/ha","57263","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01703","Chick peas, dry","2019","2019","100 g/ha","52289","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2019","2019","100 g/ha","66148","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2019","2019","100 g/ha","223629","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01655","Cinnamon and cinnamon-tree flowers, raw","2019","2019","100 g/ha","19202","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01656","Cloves (whole stems), raw","2019","2019","100 g/ha","12268","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01460","Coconuts, in shell","2019","2019","100 g/ha","107616","E","Estimated value"
